customer_id,age,education_level,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,join_year,join_month,join_day,join_weekday,education_level_encoded,region_East,region_North,region_South,region_West,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,gender_Female,gender_Male,gender_Other,employment_Salaried,employment_Self-Employed,employment_Unemployed,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
C0001,33.0,Primary,760080.59,1197934.04,795.0,6.0,5.0,78.06,2018-09-05,0,2018,9,5,Wednesday,0.0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,1.5760618752282571,0.4166666666666667,0.7806000000000001
C0002,23.0,Secondary,2381944.46,1510074.7,652.0,1.0,21.0,17.8,2018-11-30,1,2018,11,30,Friday,1.0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,0.6339672168510596,1.75,0.17800000000000002
C0003,49.0,Primary,676736.64,1848359.77,706.0,3.0,249.0,60.92,2021-08-30,1,2021,8,30,Monday,0.0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,2.731283723606276,20.75,0.6092
C0004,52.0,Graduate,394092.95,673158.33,480.0,7.0,135.0,50.76,2020-05-17,1,2020,5,17,Sunday,2.0,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,1.7081207111165018,11.25,0.5075999999999999
C0005,52.0,Secondary,2613771.5,304432.89,759.0,3.0,111.0,90.52,2018-10-15,1,2018,10,15,Monday,1.0,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,0.11647264881417523,9.25,0.9052
C0006,31.0,Primary,2812218.81,632506.54,419.0,9.0,94.0,41.87,2022-11-11,1,2022,11,11,Friday,0.0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,0.2249137007941427,7.833333333333333,0.41869999999999996
C0007,32.0,Graduate,525589.14,1349694.81,387.0,3.0,30.0,54.47,2023-08-15,1,2023,8,15,Tuesday,2.0,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,2.567965559562361,2.5,0.5447
C0008,43.0,Primary,1102605.33,726213.66,490.0,12.0,149.0,28.75,2018-01-07,1,2018,1,7,Sunday,0.0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,0.6586342730630551,12.416666666666666,0.2875
C0009,26.0,Post-Graduate,1899622.91,1338907.42,422.0,11.0,283.0,80.37,2022-06-13,1,2022,6,13,Monday,3.0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,0.7048280018901225,23.583333333333332,0.8037000000000001
C0010,29.0,Graduate,2073866.44,1705655.06,820.0,2.0,223.0,90.52,2021-01-29,1,2021,1,29,Friday,2.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,0.8224517389846957,18.583333333333332,0.9052
C0011,57.0,Primary,2686155.51,928715.54,588.0,1.0,48.0,46.35,2023-01-03,1,2023,1,3,Tuesday,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0.3457415389922827,4.0,0.4635
C0012,47.0,Graduate,523026.35,175667.06,770.0,0.0,38.0,48.21,2023-06-25,1,2023,6,25,Sunday,2.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0.33586655815715594,3.1666666666666665,0.48210000000000003
C0013,44.0,Graduate,923205.44,703345.44,458.0,7.0,16.0,31.95,2022-01-30,1,2022,1,30,Sunday,2.0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,0.7618514899565583,1.3333333333333333,0.3195
C0014,57.0,Secondary,1037246.69,175667.06,342.0,7.0,250.0,71.12,2024-03-19,1,2024,3,19,Tuesday,1.0,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,0.16935899790627434,20.833333333333332,0.7112
C0015,33.0,Secondary,2038366.7,1636917.71,507.0,12.0,158.0,45.7,2023-05-07,1,2023,5,7,Sunday,1.0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0.8030535967841311,13.166666666666666,0.457
C0016,43.0,Graduate,2714678.02,914478.44,691.0,11.0,100.0,68.65,2018-09-08,0,2018,9,8,Saturday,2.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,0.33686442121780613,8.333333333333334,0.6865000000000001
C0017,33.0,Post-Graduate,1265091.71,702279.72,388.0,12.0,58.0,19.54,2024-02-16,1,2024,2,16,Friday,3.0,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,0.555121588773987,4.833333333333333,0.1954
C0018,53.0,Primary,2184841.68,836530.63,816.0,6.0,19.0,31.66,2021-05-14,0,2021,5,14,Friday,0.0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,0.3828792894503916,1.5833333333333333,0.3166
