customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
C0001,33.0,Male,East,Primary,Salaried,760080.59,1197934.04,Business,795.0,6,5,78.06,2018-09-05,0
C0002,23.0,Male,West,Secondary,Unemployed,2381944.46,1510074.7,Business,652.0,1,21,17.8,2018-11-30,1
C0003,49.0,Female,South,Primary,Self-Employed,676736.64,1848359.77,Other,706.0,3,249,60.92,2021-08-30,1
C0004,52.0,Other,South,Graduate,Self-Employed,355958.34,673158.33,Education,480.0,7,135,50.76,2020-05-17,1
C0005,52.0,Female,South,Secondary,Unemployed,2613771.5,304432.89,Other,759.0,3,111,92.15,2018-10-15,1
C0006,31.0,Female,South,Primary,Self-Employed,2959031.03,632506.54,Home,419.0,9,94,41.87,2022-11-11,1
C0007,32.0,Other,East,Graduate,Self-Employed,525589.14,1349694.81,Education,387.0,3,30,54.47,2023-08-15,1
C0008,43.0,Other,North,Primary,Self-Employed,1102605.33,726213.66,Business,490.0,12,149,28.75,2018-01-07,1
C0009,26.0,Female,South,Post-Graduate,Self-Employed,1899622.91,1338907.42,Other,422.0,11,283,80.37,2022-06-13,1
C0010,29.0,Female,North,Graduate,Unemployed,2073866.44,1705655.06,Education,842.0,2,223,91.93,2021-01-29,1
C0011,57.0,Male,East,Primary,Unemployed,2686155.51,928715.54,Car,588.0,1,48,46.35,2023-01-03,1
C0012,47.0,Other,East,Graduate,Unemployed,523026.35,66904.78,Business,770.0,0,38,48.21,2023-06-25,1
C0013,44.0,Male,South,Graduate,Salaried,923205.44,703345.44,Other,458.0,7,16,31.95,2022-01-30,1
C0014,57.0,Female,North,Secondary,Salaried,1037246.69,144536.9,Other,319.0,7,250,71.12,2024-03-19,1
C0015,33.0,Female,South,Secondary,Self-Employed,2038366.7,1636917.71,Car,507.0,12,158,45.7,2023-05-07,1
C0016,43.0,Female,South,Graduate,Unemployed,2714678.02,914478.44,Home,691.0,11,100,68.65,2018-09-08,0
C0017,33.0,Male,East,Post-Graduate,Self-Employed,1265091.71,702279.72,Other,388.0,12,58,19.54,2024-02-16,1
C0018,53.0,Other,West,Primary,Unemployed,2184841.68,836530.63,Business,816.0,6,19,31.66,2021-05-14,0
C0019,28.0,Other,East,Post-Graduate,Salaried,706018.79,913470.64,Education,562.0,2,82,11.66,2021-06-19,1
C0020,36.0,Other,South,Graduate,Unemployed,1618794.28,175667.06,Home,398.0,0,29,85.74,2018-08-05,1
C0021,42.0,Female,East,Primary,Unemployed,1629560.02,1936114.6,Other,574.0,9,98,17.65,2022-01-13,0
C0022,65.0,Female,East,Graduate,Unemployed,2569144.21,1753932.48,Education,500.0,8,21,87.57,2018-07-30,1
C0023,60.0,Female,South,Secondary,Unemployed,1070208.19,1836112.62,Education,588.0,11,193,63.24,2021-08-17,0
C0024,48.0,Female,South,Secondary,Unemployed,955548.15,1231779.45,Other,665.0,0,96,28.59,2020-07-25,1
