Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH001,63,146932,Primary,5,Yes,Rural
HH002,39,134879,Secondary,4,Yes,Urban
HH003,45,102498,Primary,8,Yes,Rural
HH004,48,31023,Primary,6,Yes,Urban
HH005,27,79820,Secondary,7,Yes,Urban
HH006,26,79925,Secondary,5,No,Urban
HH007,62,20311,Post-Grad,3,No,Urban
HH008,45,100305,Secondary,2,No,Rural
HH009,46,145608,Graduate,6,Yes,Urban
HH010,51,99478,Graduate,4,Yes,Urban
HH011,66,17747,Post-Grad,5,Yes,Rural
HH012,40,80725,Graduate,8,No,Urban
HH013,68,81803,Post-Grad,8,Yes,Rural
HH014,27,18890,Primary,6,No,Rural
HH015,31,102313,Secondary,6,Yes,Urban
HH016,28,83148,Secondary,2,No,Urban
HH017,26,135174,Secondary,5,Yes,Rural
HH018,31,32159,Graduate,5,No,Rural
HH019,59,50920,Secondary,7,No,Rural
HH020,60,34457,Secondary,3,No,Urban
HH021,30,93953,Secondary,7,Yes,Urban
HH022,28,24692,Post-Grad,7,No,Rural
HH023,42,52065,Secondary,3,No,Urban
HH024,60,26534,Secondary,7,Yes,Rural
HH025,32,106387,Post-Grad,7,No,Urban
HH026,64,38247,Secondary,6,No,Urban
HH027,69,97798,Post-Grad,3,No,Rural
HH028,48,53044,Secondary,3,No,Urban
HH029,39,129752,Secondary,6,No,Rural
HH030,49,17568,Post-Grad,8,No,Urban
HH031,48,148767,Secondary,2,No,Urban
HH032,48,54504,Primary,8,Yes,Urban
HH033,32,76858,Secondary,4,No,Urban
HH034,57,53660,Post-Grad,4,No,Rural
HH035,66,79505,Graduate,8,Yes,Urban
HH036,65,37662,Graduate,5,No,Urban
HH037,33,128569,Graduate,5,No,Urban
HH038,57,50222,Post-Grad,8,Yes,Rural
HH039,48,25965,Secondary,6,Yes,Rural
HH040,51,128252,Secondary,4,Yes,Rural
HH041,38,113806,Secondary,4,Yes,Rural
HH042,38,136626,Post-Grad,8,Yes,Urban
HH043,33,137409,Graduate,8,No,Urban
HH044,37,65015,Primary,4,Yes,Urban
HH045,63,122059,Primary,2,No,Urban
HH046,56,120878,Secondary,5,Yes,Rural
HH047,63,77623,Secondary,6,No,Rural
HH048,31,108426,Secondary,4,Yes,Rural
HH049,46,58585,Post-Grad,5,No,Rural
HH050,66,124556,Post-Grad,6,Yes,Urban
HH051,30,110259,Secondary,5,Yes,Rural
HH052,68,40939,Primary,5,Yes,Urban
HH053,54,33047,Primary,7,Yes,Urban
HH054,52,59262,Secondary,2,Yes,Urban
HH055,57,143376,Graduate,2,Yes,Urban
HH056,51,107787,Graduate,7,No,Urban
HH057,37,36959,Secondary,2,No,Urban
HH058,51,134101,Post-Grad,2,No,Urban
HH059,61,28545,Primary,2,Yes,Rural
HH060,68,88530,Graduate,8,No,Rural
HH061,56,133451,Post-Grad,2,Yes,Urban
HH062,36,80318,Primary,7,No,Rural
HH063,26,82172,Primary,4,Yes,Urban
HH064,41,41736,Secondary,4,No,Urban
HH065,26,127859,Post-Grad,3,Yes,Rural
HH066,47,22392,Post-Grad,6,Yes,Urban
HH067,25,65859,Post-Grad,4,Yes,Urban
HH068,50,85467,Primary,7,Yes,Urban
HH069,35,40342,Secondary,4,No,Rural
HH070,62,121081,Post-Grad,6,Yes,Rural
HH071,30,49698,Primary,7,Yes,Rural
HH072,40,108384,Primary,2,No,Rural
HH073,30,106906,Post-Grad,6,No,Rural
HH074,44,71250,Post-Grad,5,Yes,Urban
HH075,60,139249,Graduate,4,Yes,Urban
HH076,27,148983,Primary,8,No,Urban
HH077,31,99896,Primary,5,No,Urban
HH078,64,115689,Primary,8,Yes,Urban
HH079,64,147874,Primary,2,Yes,Urban
HH080,52,54384,Post-Grad,2,Yes,Urban
HH081,47,100981,Primary,8,Yes,Rural
HH082,66,61843,Graduate,4,No,Urban
HH083,40,122512,Graduate,3,Yes,Rural
HH084,26,118727,Post-Grad,2,Yes,Rural
HH085,36,132796,Post-Grad,6,No,Urban
HH086,56,22400,Primary,4,No,Urban
HH087,59,30151,Primary,4,Yes,Rural
HH088,40,19499,Secondary,4,No,Urban
HH089,48,141071,Secondary,7,No,Rural
HH090,57,131336,Secondary,5,No,Rural
HH091,32,141063,Primary,5,No,Urban
HH092,49,148272,Secondary,4,No,Urban
HH093,53,36357,Primary,3,Yes,Rural
HH094,42,17869,Graduate,3,Yes,Rural
HH095,59,127296,Secondary,6,No,Rural
HH096,60,53467,Graduate,2,Yes,Urban
HH097,57,106412,Post-Grad,7,No,Urban
HH098,44,101416,Primary,8,No,Urban
HH099,57,122450,Graduate,5,Yes,Rural
HH100,46,131381,Post-Grad,8,Yes,Urban
HH101,62,149508,Primary,7,Yes,Urban
HH102,32,45746,Graduate,4,Yes,Rural
HH103,58,69045,Secondary,6,Yes,Rural
HH104,57,122455,Graduate,5,Yes,Rural
HH105,57,108179,Secondary,6,Yes,Urban
HH106,43,117946,Graduate,5,No,Urban
HH107,41,139123,Secondary,5,Yes,Urban
HH108,54,97989,Post-Grad,6,Yes,Urban
HH109,30,78208,Graduate,4,No,Urban
HH110,61,111752,Graduate,6,Yes,Urban
HH111,55,139019,Post-Grad,4,Yes,Rural
HH112,45,133015,Secondary,8,Yes,Rural
HH113,27,118746,Graduate,3,No,Urban
HH114,64,51631,Secondary,7,Yes,Urban
HH115,56,26093,Post-Grad,8,No,Rural
HH116,47,71958,Primary,3,No,Rural
HH117,51,120864,Post-Grad,3,No,Urban
HH118,67,120510,Primary,7,No,Urban
HH119,53,44592,Graduate,3,Yes,Urban
HH120,48,125627,Post-Grad,6,No,Rural
HH121,69,17368,Post-Grad,5,Yes,Rural
HH122,32,85031,Secondary,7,No,Urban
HH123,38,102922,Post-Grad,5,Yes,Urban
HH124,47,47097,Graduate,8,No,Urban
HH125,26,139862,Graduate,8,No,Urban
HH126,46,108848,Graduate,4,No,Rural
HH127,46,46024,Graduate,3,No,Rural
HH128,66,110285,Secondary,7,Yes,Rural
HH129,67,128632,Post-Grad,5,Yes,Rural
HH130,32,18051,Post-Grad,6,Yes,Rural
HH131,68,102235,Graduate,6,Yes,Rural
HH132,30,88523,Graduate,6,No,Rural
HH133,40,32019,Post-Grad,6,Yes,Rural
HH134,66,101672,Secondary,7,Yes,Rural
HH135,43,118481,Graduate,5,Yes,Urban
HH136,50,47217,Graduate,6,Yes,Urban
HH137,47,115235,Secondary,8,Yes,Urban
HH138,25,31896,Secondary,3,No,Urban
HH139,58,20237,Post-Grad,7,No,Urban
HH140,49,129548,Post-Grad,6,No,Rural
HH141,25,44375,Secondary,6,Yes,Urban
HH142,29,82215,Primary,7,No,Urban
HH143,61,108468,Secondary,7,No,Urban
HH144,38,93832,Secondary,5,Yes,Rural
HH145,54,93781,Secondary,7,No,Rural
HH146,29,58919,Post-Grad,5,No,Rural
HH147,50,136172,Secondary,3,No,Rural
HH148,63,71573,Graduate,5,Yes,Rural
HH149,54,41646,Post-Grad,6,Yes,Rural
HH150,34,113116,Post-Grad,7,Yes,Rural
