Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1,Sales,42,50008,8,34,74,No
2,Marketing,41,73928,8,53,79,No
3,Finance,40,108096,7,33,63,No
4,Marketing,40,114876,6,50,85,No
5,Marketing,33,49976,6,44,67,No
6,IT,58,52626,10,41,88,Yes
7,Finance,38,84789,11,48,100,Yes
8,Finance,58,29700,13,50,100,Yes
9,Finance,49,88645,13,57,100,Yes
10,Marketing,56,98396,6,48,79,No
11,Sales,39,32526,8,50,100,Yes
12,Finance,35,64500,1,40,49,No
13,Operations,56,93049,5,59,84,No
14,Marketing,28,98366,3,50,78,No
15,IT,34,105317,12,35,97,Yes
16,Sales,39,84117,8,38,85,Yes
17,Operations,58,81096,11,30,82,Yes
18,Operations,34,32910,6,41,73,No
19,IT,57,106383,14,55,100,Yes
20,Sales,52,96185,2,43,61,No
21,Marketing,23,75248,13,35,95,Yes
22,HR,37,99656,7,30,60,No
23,Sales,30,26951,7,51,66,No
24,IT,30,90212,13,31,92,Yes
25,Operations,59,100701,5,53,87,No
26,Marketing,32,104888,8,40,84,Yes
27,Sales,43,100282,14,32,92,Yes
28,HR,54,119533,5,39,44,No
29,HR,57,66954,1,59,62,No
30,Finance,44,114719,9,35,89,Yes
31,Finance,55,33804,4,35,50,No
32,IT,30,117705,13,60,100,Yes
33,Sales,45,25595,2,49,53,No
34,Sales,29,54592,4,50,73,No
35,Operations,28,65643,14,31,100,Yes
36,Operations,57,87665,13,55,100,Yes
37,Operations,39,45823,9,60,100,Yes
38,Finance,24,30972,2,55,74,No
39,Sales,49,40882,4,53,61,No
40,Sales,27,91394,2,39,61,No
41,HR,42,96055,5,52,79,No
42,Finance,49,48769,3,55,57,No
43,Marketing,22,50020,10,35,100,Yes
44,Finance,57,67748,2,52,60,No
45,Marketing,42,110374,14,57,100,Yes
46,HR,56,69912,9,46,83,Yes
47,IT,34,37879,5,59,74,No
48,Sales,31,58798,10,43,86,Yes
49,HR,31,114826,5,34,54,No
50,Sales,34,71073,1,52,54,No
51,Operations,58,100791,6,46,73,No
52,IT,59,91983,13,31,95,Yes
53,IT,45,68005,7,38,78,No
54,HR,23,119731,1,41,38,No
55,IT,43,27850,9,48,100,Yes
56,Marketing,38,53400,8,51,78,No
57,IT,57,36953,12,60,100,Yes
58,Sales,35,48535,14,36,100,Yes
59,Sales,31,100536,14,38,100,Yes
60,Sales,56,100039,8,50,91,Yes
61,Sales,46,106029,7,45,70,No
62,Marketing,24,29055,5,49,68,No
63,Finance,59,63170,3,40,70,No
64,Operations,38,53251,12,41,100,Yes
65,HR,33,29532,14,44,100,Yes
66,Sales,45,29924,9,47,72,No
67,IT,50,73037,14,48,100,Yes
68,Sales,46,103082,7,45,97,Yes
69,IT,57,117115,11,44,100,Yes
70,Operations,47,96621,10,34,89,Yes
71,Operations,59,102926,10,40,91,Yes
72,Operations,22,103816,8,44,77,No
73,IT,41,114654,14,58,100,Yes
74,Sales,49,95400,6,47,61,No
75,Operations,37,117385,12,42,85,Yes
76,Marketing,38,118102,14,33,95,Yes
77,IT,49,35702,11,46,100,Yes
78,IT,33,40385,14,33,87,Yes
79,Sales,48,34336,5,45,71,No
80,IT,51,90421,8,52,82,Yes
81,IT,55,56225,3,44,50,No
82,Operations,58,61021,12,43,100,Yes
83,Sales,27,28782,13,41,100,Yes
84,Operations,28,113877,13,32,87,Yes
85,Operations,53,114630,7,39,75,No
86,Sales,53,74111,2,37,32,No
87,HR,46,114402,3,35,53,No
88,Operations,54,109585,13,51,100,Yes
89,Marketing,28,67719,12,43,100,Yes
90,Marketing,33,74037,2,60,91,No
91,IT,37,105103,5,46,51,No
92,Marketing,37,28513,7,50,86,Yes
93,IT,57,38335,11,48,89,Yes
94,HR,34,69140,10,45,93,Yes
95,Sales,28,105373,11,44,99,Yes
96,Sales,57,102658,11,55,100,Yes
97,Sales,30,59840,11,44,98,Yes
98,Marketing,53,56007,10,30,79,No
99,HR,32,81947,13,53,100,Yes
100,Marketing,29,118220,14,52,100,Yes
101,Marketing,54,51393,1,52,75,No
102,HR,44,82480,13,41,100,Yes
103,HR,46,113290,10,39,97,Yes
104,HR,29,111335,9,43,69,No
105,HR,43,34107,1,39,63,No
106,Sales,25,30993,1,39,37,No
107,Finance,24,118650,14,49,100,Yes
108,Finance,50,77066,12,58,100,Yes
109,HR,50,67942,10,60,99,Yes
110,Finance,55,41138,8,40,67,No
111,Finance,55,69527,6,51,82,No
112,HR,49,34190,6,45,55,No
113,Finance,34,117259,12,58,100,Yes
114,Marketing,36,103422,9,38,93,Yes
115,IT,44,80698,4,44,70,No
116,IT,47,107315,8,43,87,Yes
117,HR,25,118710,4,48,59,No
118,Sales,47,54086,14,60,100,Yes
119,HR,30,42322,2,38,58,No
120,Sales,26,108569,11,33,83,Yes
121,IT,53,110610,8,50,89,Yes
122,HR,41,28435,12,36,94,Yes
123,Operations,32,78331,7,51,92,Yes
124,Marketing,36,53942,4,55,93,No
125,Finance,53,84635,9,37,96,Yes
126,Sales,49,54059,9,53,74,No
127,Operations,43,82557,8,37,73,No
128,Finance,38,77389,14,48,100,Yes
129,Finance,47,78014,1,44,58,No
130,HR,28,57826,7,45,80,No
131,Finance,47,55297,5,59,90,No
132,Marketing,46,68890,7,55,86,Yes
133,Operations,31,46322,12,51,100,Yes
134,Finance,40,60739,9,52,88,Yes
135,HR,32,34719,2,38,32,No
136,Marketing,34,104553,13,55,100,Yes
137,IT,29,33314,14,55,100,Yes
138,Operations,25,118831,11,59,100,Yes
139,Finance,52,100164,4,41,50,No
140,HR,49,102028,4,60,83,No
141,IT,32,61113,2,45,58,No
142,IT,22,40357,3,33,51,No
143,Sales,59,45365,11,34,100,Yes
144,Marketing,45,64029,14,37,100,Yes
