study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
7,55,No,38,Fail
4,77,Yes,50,Fail
13,77,Yes,58,Pass
11,93,No,36,Fail
8,93,Yes,66,Pass
13,69,No,58,Pass
5,79,No,46,Fail
7,60,Yes,84,Pass
10,77,No,69,Pass
3,74,Yes,67,Fail
7,88,No,67,Pass
11,82,No,95,Pass
11,50,Yes,85,Pass
8,76,No,77,Pass
5,62,No,46,Fail
4,90,No,99,Pass
8,52,No,67,Fail
8,88,No,74,Pass
3,55,Yes,77,Fail
6,57,No,78,Fail
5,76,Yes,63,Fail
2,58,No,47,Fail
8,86,Yes,46,Fail
12,82,Yes,80,Pass
14,91,No,36,Pass
6,93,No,69,Pass
2,73,No,42,Fail
12,64,Yes,60,Pass
5,81,No,68,Fail
1,81,Yes,41,Fail
12,73,Yes,92,Pass
10,90,Yes,63,Pass
6,98,No,70,Pass
13,98,No,55,Pass
12,61,Yes,70,Pass
9,88,Yes,44,Pass
1,51,No,58,Fail
11,52,Yes,98,Pass
11,98,No,83,Pass
10,86,Yes,70,Pass
12,98,No,58,Pass
12,66,Yes,57,Pass
14,98,No,96,Pass
14,51,Yes,71,Pass
14,51,No,46,Fail
3,77,No,89,Pass
12,72,Yes,47,Pass
7,86,Yes,57,Pass
4,81,No,64,Fail
9,82,Yes,51,Pass
3,50,No,96,Fail
5,68,Yes,47,Fail
3,51,No,93,Fail
7,93,No,53,Fail
5,75,No,83,Pass
9,81,No,46,Fail
7,55,No,95,Pass
2,81,No,53,Fail
4,53,Yes,43,Fail
9,60,Yes,62,Pass
12,66,Yes,86,Pass
14,87,No,50,Pass
2,73,No,46,Fail
10,54,No,59,Fail
9,83,No,86,Pass
10,55,Yes,87,Pass
5,71,Yes,57,Fail
2,60,No,50,Fail
4,97,Yes,91,Pass
12,65,Yes,73,Pass
12,82,No,87,Pass
7,58,Yes,76,Pass
12,55,No,92,Pass
13,65,Yes,73,Pass
8,78,No,48,Fail
3,52,No,39,Fail
14,69,No,69,Pass
1,85,No,52,Fail
4,68,Yes,43,Fail
2,75,No,92,Pass
8,52,No,51,Fail
4,68,No,41,Fail
2,69,Yes,80,Fail
14,81,No,47,Pass
6,56,Yes,74,Pass
6,90,No,76,Pass
10,82,Yes,43,Pass
4,89,Yes,84,Pass
6,88,No,61,Fail
13,67,Yes,39,Pass
2,89,No,63,Fail
10,50,No,71,Pass
12,60,No,72,Pass
2,77,Yes,42,Fail
10,74,Yes,99,Pass
14,99,No,51,Pass
4,72,No,79,Fail
14,80,Yes,38,Pass
8,79,No,70,Pass
14,91,No,65,Pass
7,84,No,53,Fail
12,56,Yes,95,Pass
9,65,Yes,88,Pass
14,75,Yes,73,Pass
8,97,No,53,Pass
5,98,No,73,Pass
13,51,No,79,Pass
2,50,Yes,47,Fail
5,97,No,92,Pass
8,61,No,54,Fail
10,54,No,95,Pass
9,86,No,73,Pass
12,81,Yes,35,Pass
12,58,Yes,37,Fail
12,90,No,96,Pass
13,84,Yes,97,Pass
9,68,Yes,59,Pass
13,97,No,90,Pass
13,65,No,67,Pass
1,52,Yes,72,Fail
9,69,No,40,Fail
7,73,Yes,92,Pass
9,82,No,78,Pass
8,73,Yes,79,Pass
1,60,No,66,Fail
12,98,Yes,79,Pass
8,57,Yes,95,Pass
8,85,Yes,81,Pass
11,87,No,55,Pass
3,89,Yes,70,Pass
1,69,Yes,53,Fail
8,84,No,54,Fail
3,97,No,91,Pass
3,74,Yes,52,Fail
1,84,Yes,81,Pass
11,74,No,83,Pass
5,78,No,48,Fail
10,67,No,49,Fail
7,95,No,65,Pass
10,67,No,35,Fail
9,51,Yes,88,Pass
12,84,No,37,Fail
7,65,Yes,50,Fail
9,90,Yes,91,Pass
8,85,Yes,46,Fail
12,82,No,50,Pass
2,53,Yes,58,Fail
1,82,Yes,62,Fail
7,63,No,42,Fail
7,70,Yes,70,Pass
14,97,Yes,42,Pass
8,69,No,92,Pass
5,57,Yes,94,Pass
3,56,Yes,84,Fail
12,52,Yes,62,Pass
8,66,No,75,Pass
6,82,No,98,Pass
11,97,No,61,Pass
3,61,Yes,97,Pass
1,71,Yes,51,Fail
3,71,No,67,Fail
5,95,Yes,63,Pass
14,79,Yes,47,Pass
3,87,No,80,Pass
1,87,No,69,Fail
5,94,Yes,40,Fail
10,57,Yes,81,Pass
7,76,Yes,59,Pass
14,76,No,44,Pass
7,83,No,90,Pass
11,70,No,64,Pass
9,79,No,39,Fail
10,82,Yes,67,Pass
10,77,No,99,Pass
12,96,No,52,Pass
13,82,No,83,Pass
3,54,No,45,Fail
7,97,No,60,Pass
1,68,Yes,97,Pass
4,53,Yes,93,Pass
13,84,No,61,Pass
4,98,Yes,83,Pass
14,66,No,67,Pass
5,93,No,35,Fail
7,77,Yes,55,Fail
7,79,Yes,89,Pass
13,78,No,40,Fail
11,95,No,39,Pass
13,55,No,37,Fail
4,84,Yes,87,Pass
13,90,No,57,Pass
7,86,No,87,Pass
11,73,No,71,Pass
3,78,Yes,51,Fail
6,98,No,35,Fail
12,95,No,85,Pass
2,80,Yes,79,Pass
10,84,No,38,Fail
13,82,No,96,Pass
14,70,Yes,99,Pass
