date,open,high,low,close,volume
13-09-1999,3.952,3.952,3.952,3.952,0
14-09-1999,3.952,3.952,3.952,3.952,0
15-09-1999,3.952,3.952,3.952,3.952,0
16-09-1999,3.952,3.952,3.952,3.952,0
17-09-1999,3.952,3.952,3.952,3.952,0
20-09-1999,3.952,3.952,3.952,3.952,0
21-09-1999,3.952,3.952,3.952,3.952,0
22-09-1999,3.952,3.952,3.952,3.952,0
23-09-1999,3.952,3.952,3.952,3.952,0
24-09-1999,3.7827,3.7827,3.7827,3.7827,815
27-09-1999,3.7827,3.7827,3.7827,3.7827,0
28-09-1999,3.7827,3.7827,3.7827,3.7827,0
29-09-1999,3.7827,3.7827,3.7827,3.7827,0
30-09-1999,3.7827,3.7827,3.7827,3.7827,0
01-10-1999,3.7827,3.7827,3.7827,3.7827,0
04-10-1999,3.7827,3.7827,3.7827,3.7827,0
05-10-1999,3.7827,3.7827,3.7827,3.7827,0
06-10-1999,3.7827,3.7827,3.7827,3.7827,0
07-10-1999,4.0918,4.0918,4.0918,4.0918,3667
08-10-1999,4.0918,4.0918,4.0918,4.0918,3667
11-10-1999,4.0918,4.0918,4.0918,4.0918,0
12-10-1999,4.0918,4.0918,4.0918,4.0918,0
13-10-1999,4.0771,4.0771,4.0771,4.0771,0
14-10-1999,4.0771,4.0771,4.0771,4.0771,0
15-10-1999,3.8784,3.8784,3.8784,3.8784,11204
18-10-1999,3.8784,3.8784,3.8784,3.8784,11204
19-10-1999,3.8784,3.8784,3.8784,3.8784,11204
20-10-1999,3.8784,3.8784,3.8784,3.8784,11204
21-10-1999,3.8784,3.8784,3.8784,3.8784,0
22-10-1999,4.0255,4.0255,4.0255,4.0255,2037
25-10-1999,4.0255,4.0255,4.0255,4.0255,2037
26-10-1999,4.0623,4.0623,4.0623,4.0623,1019
27-10-1999,4.0623,4.0623,4.0623,4.0623,1019
28-10-1999,4.0623,4.0623,4.0623,4.0623,1019
29-10-1999,4.0623,4.0623,4.0623,4.0623,1019
01-11-1999,4.0623,4.0623,4.0623,4.0623,1019
02-11-1999,4.0623,4.0623,4.0623,4.0623,1019
03-11-1999,4.1654,4.1654,4.1654,4.1654,204
04-11-1999,4.1212,4.1212,4.1212,4.1212,2037
05-11-1999,4.1359,4.1507,4.1359,4.1507,815
08-11-1999,4.1359,4.1359,4.1359,4.1359,815
09-11-1999,4.0255,4.0255,4.0255,4.0255,611
10-11-1999,4.0255,4.0255,4.0255,4.0255,204
11-11-1999,3.9961,3.9961,3.9961,3.9961,3056
12-11-1999,3.9961,3.9961,3.9961,3.9961,3056
15-11-1999,3.9961,3.9961,3.9961,3.9961,3056
16-11-1999,4.1654,4.1654,4.1654,4.1654,41761
17-11-1999,4.1507,4.1507,4.1507,4.1507,3056
18-11-1999,4.1507,4.1507,4.1507,4.1507,3056
19-11-1999,4.1507,4.1507,4.1507,4.1507,3056
22-11-1999,4.1507,4.1507,4.1507,4.1507,3056
23-11-1999,4.1507,4.1507,4.1507,4.1507,3056
24-11-1999,4.1507,4.1507,4.1507,4.1507,3056
26-11-1999,4.1507,4.1507,4.1507,4.1507,3056
29-11-1999,4.1507,4.1507,4.1507,4.1507,3056
30-11-1999,4.1507,4.1507,4.1507,4.1507,3056
01-12-1999,4.1507,4.1507,4.1507,4.1507,3056
02-12-1999,3.9372,3.9372,3.9372,3.9372,3259
03-12-1999,3.9078,3.9078,3.8931,3.9078,611
06-12-1999,3.9225,3.9225,3.9225,3.9225,35446
07-12-1999,3.9225,3.9225,3.9225,3.9225,35446
08-12-1999,3.9225,3.9225,3.9225,3.9225,0
09-12-1999,3.9225,3.9225,3.9225,3.9225,0
10-12-1999,3.9372,3.9372,3.9372,3.9372,1833
13-12-1999,3.9372,3.9372,3.9372,3.9372,1833
14-12-1999,3.9372,3.9372,3.9372,3.9372,5093
15-12-1999,3.9372,3.9372,3.9372,3.9372,5093
16-12-1999,3.8784,3.8784,3.8784,3.8784,611
17-12-1999,3.8784,3.8784,3.8784,3.8784,611
20-12-1999,3.8784,3.8784,3.8784,3.8784,204
21-12-1999,3.8416,3.8416,3.7974,3.8416,1630
22-12-1999,3.8416,3.9814,3.8121,3.8268,4278
23-12-1999,3.8636,3.8636,3.8636,3.8636,8149
27-12-1999,3.9225,3.9225,3.9225,3.9225,204
28-12-1999,3.9225,3.9225,3.9225,3.9225,204
29-12-1999,3.9225,3.9225,3.9225,3.9225,204
30-12-1999,3.9814,4.0108,3.9814,4.0108,1833
31-12-1999,4.0108,4.0108,3.9814,4.0108,1833
03-01-2000,4.0108,4.0108,3.9814,4.0108,1833
04-01-2000,4.0108,4.0108,3.9814,4.0108,1833
05-01-2000,4.0108,4.0108,3.9814,4.0108,1833
06-01-2000,3.9667,3.9667,3.952,3.952,2241
07-01-2000,3.952,3.952,3.952,3.952,0
10-01-2000,3.952,3.952,3.952,3.952,0
11-01-2000,3.8563,3.8563,3.7827,3.7827,2037
12-01-2000,3.7827,3.7827,3.7827,3.7827,0
13-01-2000,3.7827,3.7827,3.7827,3.7827,0
14-01-2000,3.7827,3.7827,3.7827,3.7827,0
18-01-2000,3.768,3.768,3.768,3.768,407
19-01-2000,3.768,3.768,3.768,3.768,407
20-01-2000,4.0108,4.0108,4.0108,4.0108,407
21-01-2000,4.0108,4.0108,4.0108,4.0108,0
24-01-2000,3.6429,3.6429,3.6429,3.6429,204
25-01-2000,3.4736,3.4736,3.4736,3.4736,40743
26-01-2000,3.6429,3.6429,3.6429,3.6429,5500
27-01-2000,3.768,3.768,3.768,3.768,204
28-01-2000,3.768,3.768,3.768,3.768,0
31-01-2000,3.8268,3.8416,3.8268,3.8268,40946
01-02-2000,3.8268,3.8416,3.8268,3.8268,40946
02-02-2000,3.8563,3.8563,3.8563,3.8563,1833
03-02-2000,3.8563,3.8563,3.8563,3.8563,1833
04-02-2000,3.8563,3.8563,3.8563,3.8563,0
07-02-2000,3.6429,3.6429,3.6429,3.6429,0
08-02-2000,3.7385,3.7385,3.7385,3.7385,2037
09-02-2000,3.7385,3.7385,3.7385,3.7385,0
10-02-2000,3.7091,3.7091,3.6944,3.7091,20371
11-02-2000,3.6576,3.6576,3.6576,3.6576,3056
14-02-2000,3.6576,3.6576,3.6576,3.6576,3056
15-02-2000,3.6576,3.6576,3.6576,3.6576,3056
16-02-2000,3.6576,3.6576,3.6576,3.6576,0
17-02-2000,3.6134,3.6134,3.6134,3.6134,0
18-02-2000,3.6134,3.6134,3.6134,3.6134,0
22-02-2000,3.6134,3.6134,3.6134,3.6134,0
23-02-2000,3.5546,3.5546,3.5546,3.5546,9167
24-02-2000,3.5546,3.5546,3.5546,3.5546,815
25-02-2000,3.5104,3.5104,3.5104,3.5104,6111
28-02-2000,3.5251,3.5251,3.5251,3.5251,204
29-02-2000,3.5251,3.5251,3.5251,3.5251,204
01-03-2000,3.7238,3.7238,3.7238,3.7238,9167
02-03-2000,3.7238,3.7238,3.7238,3.7238,9167
03-03-2000,3.7238,3.7238,3.7238,3.7238,9167
06-03-2000,3.7238,3.7238,3.7238,3.7238,9167
07-03-2000,3.7238,3.7238,3.7238,3.7238,0
08-03-2000,3.7238,3.7238,3.7238,3.7238,9167
09-03-2000,3.2896,3.2896,3.2749,3.2896,2852
10-03-2000,3.2896,3.2896,3.2749,3.2896,2852
13-03-2000,3.2896,3.2896,3.2749,3.2896,2852
14-03-2000,3.2896,3.2896,3.2749,3.2896,2852
15-03-2000,3.3411,3.3411,3.3411,3.3411,1222
16-03-2000,3.3411,3.3411,3.3411,3.3411,0
17-03-2000,3.5251,3.5251,3.5251,3.5251,0
20-03-2000,3.5398,3.5398,3.5398,3.5398,407
21-03-2000,3.5398,3.5398,3.5398,3.5398,407
22-03-2000,3.5398,3.5398,3.5398,3.5398,407
23-03-2000,3.5398,3.5398,3.5398,3.5398,0
24-03-2000,3.5398,3.5398,3.5398,3.5398,0
27-03-2000,3.5398,3.5398,3.5398,3.5398,0
28-03-2000,3.5398,3.5398,3.5398,3.5398,0
29-03-2000,3.5398,3.5398,3.5398,3.5398,0
30-03-2000,3.6797,3.6797,3.6797,3.6797,204
31-03-2000,3.7983,3.7983,3.7983,3.7983,407
03-04-2000,3.7983,3.7983,3.7983,3.7983,0
04-04-2000,3.7983,3.7983,3.7983,3.7983,0
05-04-2000,3.8428,3.8428,3.8428,3.8428,2037
06-04-2000,3.9392,3.9392,3.9392,3.9392,1019
07-04-2000,3.9392,3.9392,3.9392,3.9392,1019
10-04-2000,3.9392,3.9392,3.9392,3.9392,1019
11-04-2000,3.9392,3.9392,3.9392,3.9392,0
12-04-2000,3.9392,3.9392,3.9392,3.9392,0
13-04-2000,3.9392,3.9392,3.9392,3.9392,0
14-04-2000,3.9392,3.9392,3.9392,3.9392,0
17-04-2000,3.9392,3.9392,3.9392,3.9392,0
18-04-2000,3.8947,3.8947,3.828,3.828,5500
19-04-2000,3.828,3.8947,3.828,3.828,5500
20-04-2000,3.828,3.8947,3.828,3.828,5500
24-04-2000,3.828,3.8947,3.828,3.828,5500
25-04-2000,4.3695,4.3695,4.3695,4.3695,407
26-04-2000,4.3695,4.3695,4.3695,4.3695,407
27-04-2000,4.3695,4.3695,4.3695,4.3695,407
28-04-2000,4.3695,4.3695,4.3695,4.3695,0
01-05-2000,4.3695,4.3695,4.3695,4.3695,407
