Date,Activity Type,Duration (Minutes),Calories Burned
2025-01-01 00:00:00,Running,30.0,300.0
2025-01-02 00:00:00,Yoga,45.0,180.0
2025-01-03 00:00:00,Cycling,60.0,450.0
2025-01-04 00:00:00,Running,40.0,380.0
2025-01-05 00:00:00,Yoga,50.0,200.0
2025-01-06 00:00:00,Cycling,55.0,420.0
2025-01-07 00:00:00,Running,35.0,330.0
2025-01-08 00:00:00,Yoga,40.0,170.0
2025-01-09 00:00:00,Cycling,65.0,480.0
2025-01-10 00:00:00,Running,45.0,420.0
2025-01-11 00:00:00,Yoga,55.0,210.0
2025-01-12 00:00:00,Cycling,70.0,520.0
2025-01-13 00:00:00,Running,50.0,460.0
2025-01-14 00:00:00,Yoga,60.0,230.0
2025-01-15 00:00:00,Cycling,75.0,560.0
2025-01-16 00:00:00,Running,55.0,500.0
2025-01-17 00:00:00,Yoga,65.0,250.0
2025-01-18 00:00:00,Cycling,80.0,600.0
2025-01-19 00:00:00,Running,60.0,540.0
2025-01-20 00:00:00,Yoga,70.0,270.0
2025-01-21 00:00:00,Cycling,85.0,640.0
2025-01-22 00:00:00,Running,65.0,580.0
2025-01-23 00:00:00,Yoga,75.0,290.0
2025-01-24 00:00:00,Cycling,90.0,680.0
2025-01-25 00:00:00,Running,70.0,620.0
2025-01-26 00:00:00,Yoga,80.0,310.0
2025-01-27 00:00:00,Cycling,95.0,720.0
2025-01-28 00:00:00,Running,75.0,660.0
2025-01-29 00:00:00,Yoga,85.0,330.0
2025-01-30 00:00:00,Cycling,100.0,760.0
,Running,30.0,300.0
2025-12-25 20:46:36,Running,30.0,300.0
